marital_status,application_mode,application_order,course_department,daytime_evening_attendance,previous_qualification,previous_qualification_grade,mother_qualification,father_qualification,mother_occupation,father_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,unemployment_rate,inflation_rate,gdp,target
single,General application,1,Health sciences,daytime,Upper secondary education,126.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Technicians and Associate Professionals,Craft and Related Trades Workers,123.9,no,no,no,yes,female,no,19,no,11.1,0.6,2.02,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,151.0,Upper secondary/Post secondary,Lower secondary education,Elementary Occupations,Elementary Occupations,157.0,yes,no,yes,yes,female,yes,18,no,7.6,2.6,0.32,Enrolled
single,General application,2,Social sciences and education,daytime,Upper secondary education,115.0,Upper secondary/Post secondary,Lower secondary education,Craft and Related Trades Workers,Plant and Machine Operators and Assemblers,116.4,yes,no,no,yes,female,no,21,no,16.2,0.3,-0.92,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,138.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Technicians and Associate Professionals,Technicians and Associate Professionals,131.0,yes,no,no,yes,female,no,18,no,9.4,-0.8,-3.12,Enrolled
single,General application,1,Business and management,daytime,Upper secondary education,135.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,122.1,yes,no,no,yes,female,no,20,no,16.2,0.3,-0.92,Graduate
single,General application,2,Health sciences,daytime,Upper secondary education,127.0,Bachelor or equivalent,Bachelor or equivalent,Managers,Other,118.8,yes,no,no,yes,male,no,19,no,16.2,0.3,-0.92,Enrolled
single,Other,1,Engineering and applied sciences,daytime,Post-secondary non-tertiary education,150.0,Master/Doctoral,Master/Doctoral,Clerical Support Workers,Professionals,150.0,no,no,no,yes,male,no,21,no,16.2,0.3,-0.92,Enrolled
single,Other,1,Communication and design,daytime,Upper secondary education,125.0,Upper secondary/Post secondary,Bachelor or equivalent,Professionals,Professionals,130.0,yes,no,no,yes,male,no,20,no,8.9,1.4,3.51,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,143.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,"Skilled Agricultural, Forestry and Fishery Workers",138.8,no,no,no,no,male,no,18,no,8.9,1.4,3.51,Enrolled
single,General application,1,Social sciences and education,evening,Upper secondary education,138.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Service and Sales Workers,134.5,yes,no,no,yes,female,no,19,no,12.4,0.5,1.79,Graduate
single,General application,1,Business and management,evening,Upper secondary education,130.0,Bachelor or equivalent,Primary/Early education,Technicians and Associate Professionals,Elementary Occupations,131.4,no,no,no,yes,male,no,34,no,13.9,-0.3,0.79,Graduate
single,Over 23,1,Engineering and applied sciences,daytime,Upper secondary education,130.0,Lower secondary education,Primary/Early education,Elementary Occupations,"Skilled Agricultural, Forestry and Fishery Workers",102.5,no,no,yes,no,male,no,37,no,8.9,1.4,3.51,Dropout
single,Over 23,1,Engineering and applied sciences,daytime,Upper secondary education,133.1,Unknown,Primary/Early education,Student,Student,128.8,yes,no,no,yes,male,no,43,no,7.6,2.6,0.32,Dropout
single,Other,1,Business and management,daytime,Upper secondary education,140.0,Primary/Early education,Primary/Early education,"Skilled Agricultural, Forestry and Fishery Workers","Skilled Agricultural, Forestry and Fishery Workers",122.9,no,no,no,yes,female,no,55,no,16.2,0.3,-0.92,Dropout
previously in union,Over 23,1,Business and management,evening,Upper secondary education,120.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Technicians and Associate Professionals,113.9,yes,no,no,yes,female,no,39,no,7.6,2.6,0.32,Graduate
single,Other,1,Engineering and applied sciences,daytime,Post-secondary non-tertiary education,120.0,Master/Doctoral,Master/Doctoral,Technicians and Associate Professionals,"Skilled Agricultural, Forestry and Fishery Workers",120.0,no,no,yes,no,female,no,20,yes,12.4,0.5,1.79,Dropout
single,General application,>3,Communication and design,daytime,Upper secondary education,126.0,Bachelor or equivalent,Bachelor or equivalent,Professionals,Professionals,121.1,no,no,yes,yes,female,no,18,no,12.7,3.7,-1.7,Dropout
single,General application,2,Business and management,daytime,Upper secondary education,133.0,Bachelor or equivalent,Upper secondary/Post secondary,Professionals,Craft and Related Trades Workers,120.4,yes,no,no,yes,female,no,22,no,8.9,1.4,3.51,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,103.0,Upper secondary/Post secondary,Bachelor or equivalent,Professionals,Professionals,100.6,yes,yes,no,yes,female,no,22,no,11.1,0.6,2.02,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,120.0,Upper secondary/Post secondary,Lower secondary education,Service and Sales Workers,Service and Sales Workers,121.4,no,no,no,no,female,no,20,no,12.4,0.5,1.79,Dropout
single,Over 23,1,Business and management,evening,Upper secondary education,133.1,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,109.7,no,no,no,yes,female,no,29,no,16.2,0.3,-0.92,Dropout
single,General application,1,Business and management,evening,Upper secondary education,154.0,Lower secondary education,Lower secondary education,Clerical Support Workers,Service and Sales Workers,134.1,no,no,no,yes,female,no,24,no,7.6,2.6,0.32,Enrolled
single,General application,2,Social sciences and education,daytime,Upper secondary education,130.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,127.6,yes,no,no,yes,female,no,18,no,11.1,0.6,2.02,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,132.0,Primary/Early education,Upper secondary/Post secondary,Craft and Related Trades Workers,Craft and Related Trades Workers,132.4,yes,no,no,yes,female,yes,22,no,11.1,0.6,2.02,Graduate
single,Other,1,Social sciences and education,evening,Post-secondary non-tertiary education,130.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,133.4,no,no,no,yes,female,yes,21,no,12.4,0.5,1.79,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,139.0,Primary/Early education,Lower secondary education,Elementary Occupations,Elementary Occupations,126.1,no,no,no,yes,female,yes,19,no,12.7,3.7,-1.7,Graduate
single,Over 23,1,Business and management,daytime,Upper secondary education,130.0,Upper secondary/Post secondary,Lower secondary education,Elementary Occupations,Craft and Related Trades Workers,113.5,no,no,no,yes,female,yes,24,no,12.4,0.5,1.79,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,139.0,Primary/Early education,Lower secondary education,"Skilled Agricultural, Forestry and Fishery Workers","Skilled Agricultural, Forestry and Fishery Workers",121.3,yes,no,no,yes,female,yes,19,no,9.4,-0.8,-3.12,Enrolled
single,General application,1,Communication and design,daytime,Upper secondary education,127.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Craft and Related Trades Workers,Craft and Related Trades Workers,121.8,yes,no,no,yes,female,yes,20,no,9.4,-0.8,-3.12,Enrolled
single,General application,3,Engineering and applied sciences,daytime,Upper secondary education,167.0,Primary/Early education,Primary/Early education,Other,Other,159.3,no,no,no,yes,female,no,19,no,7.6,2.6,0.32,Graduate
single,Over 23,1,Business and management,evening,Upper secondary education,130.0,Lower secondary education,Lower secondary education,Elementary Occupations,Elementary Occupations,120.0,no,no,no,yes,female,no,27,no,9.4,-0.8,-3.12,Dropout
single,General application,1,Health sciences,daytime,Upper secondary education,130.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Service and Sales Workers,129.1,yes,no,no,yes,female,no,18,no,15.5,2.8,-4.06,Graduate
in union,Other,1,Business and management,daytime,Tertiary education experience,130.0,Upper secondary/Post secondary,Bachelor or equivalent,Clerical Support Workers,Technicians and Associate Professionals,130.0,no,no,no,yes,female,no,39,no,12.4,0.5,1.79,Dropout
single,Over 23,1,Engineering and applied sciences,daytime,Tertiary education experience,129.0,Bachelor or equivalent,Bachelor or equivalent,Professionals,Professionals,155.3,yes,no,no,yes,female,no,27,no,12.4,0.5,1.79,Dropout
single,General application,1,Health sciences,daytime,Upper secondary education,141.0,Lower secondary education,Lower secondary education,Craft and Related Trades Workers,Other,139.8,yes,no,no,yes,female,no,18,no,9.4,-0.8,-3.12,Graduate
single,General application,3,Communication and design,daytime,Upper secondary education,125.0,Lower secondary education,Primary/Early education,Clerical Support Workers,Elementary Occupations,115.2,yes,no,no,yes,female,no,18,no,7.6,2.6,0.32,Enrolled
single,General application,2,Health sciences,daytime,Upper secondary education,125.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,114.9,no,no,no,yes,female,no,18,no,16.2,0.3,-0.92,Graduate
single,Other,1,Social sciences and education,daytime,Post-secondary non-tertiary education,130.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,131.9,no,no,no,yes,female,yes,21,no,13.9,-0.3,0.79,Graduate
single,General application,3,Communication and design,daytime,Upper secondary education,133.0,Upper secondary/Post secondary,Primary/Early education,Clerical Support Workers,Craft and Related Trades Workers,126.0,yes,no,no,yes,male,yes,19,no,10.8,1.4,1.74,Enrolled
single,General application,1,Communication and design,daytime,Upper secondary education,127.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Technicians and Associate Professionals,Clerical Support Workers,130.2,yes,no,no,yes,male,no,19,no,10.8,1.4,1.74,Enrolled
single,Other,1,Communication and design,daytime,Upper secondary education,116.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Technicians and Associate Professionals,Technicians and Associate Professionals,120.9,no,no,no,yes,male,no,24,no,12.7,3.7,-1.7,Enrolled
previously in union,Other,1,Health sciences,daytime,Upper secondary education,133.1,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Service and Sales Workers,126.0,yes,no,no,yes,male,no,29,no,13.9,-0.3,0.79,Dropout
single,General application,3,Communication and design,daytime,Upper secondary education,139.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Technicians and Associate Professionals,128.2,yes,no,no,yes,male,yes,19,no,10.8,1.4,1.74,Graduate
single,Other,1,Engineering and applied sciences,daytime,Post-secondary non-tertiary education,130.0,Upper secondary/Post secondary,Primary/Early education,Elementary Occupations,Elementary Occupations,130.0,yes,no,no,yes,male,no,23,no,8.9,1.4,3.51,Graduate
single,General application,3,Business and management,daytime,Upper secondary education,125.0,Upper secondary/Post secondary,Lower secondary education,Craft and Related Trades Workers,Craft and Related Trades Workers,120.1,no,no,yes,yes,male,no,19,no,16.2,0.3,-0.92,Dropout
single,Over 23,1,Business and management,daytime,Upper secondary education,160.0,Upper secondary/Post secondary,Primary/Early education,Craft and Related Trades Workers,Other,100.0,no,no,no,yes,male,no,26,no,12.7,3.7,-1.7,Enrolled
single,General application,1,Business and management,daytime,Upper secondary education,148.0,Lower secondary education,Primary/Early education,Service and Sales Workers,Service and Sales Workers,134.0,no,no,no,yes,male,no,18,no,7.6,2.6,0.32,Enrolled
single,General application,1,Health sciences,daytime,Upper secondary education,150.0,Primary/Early education,Upper secondary/Post secondary,Plant and Machine Operators and Assemblers,Clerical Support Workers,130.8,no,no,no,yes,male,no,24,no,13.9,-0.3,0.79,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,141.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Other,135.8,yes,no,no,yes,male,no,19,no,15.5,2.8,-4.06,Dropout
single,General application,>3,Business and management,daytime,Upper secondary education,118.0,Lower secondary education,Primary/Early education,Service and Sales Workers,Craft and Related Trades Workers,111.7,yes,no,no,yes,male,no,18,no,12.4,0.5,1.79,Dropout
single,General application,2,Communication and design,daytime,Upper secondary education,142.0,Lower secondary education,Lower secondary education,Elementary Occupations,Elementary Occupations,132.9,yes,no,no,yes,male,no,18,no,10.8,1.4,1.74,Graduate
single,General application,3,Business and management,daytime,Upper secondary education,120.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Craft and Related Trades Workers,115.5,yes,no,yes,yes,male,no,18,no,10.8,1.4,1.74,Dropout
single,General application,>3,Business and management,daytime,Upper secondary education,106.0,Upper secondary/Post secondary,Primary/Early education,Craft and Related Trades Workers,Craft and Related Trades Workers,106.0,yes,no,no,yes,male,yes,21,no,9.4,-0.8,-3.12,Dropout
single,General application,>3,Communication and design,daytime,Upper secondary education,121.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Plant and Machine Operators and Assemblers,120.3,yes,no,yes,yes,male,yes,19,no,8.9,1.4,3.51,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,150.0,Lower secondary education,Primary/Early education,Elementary Occupations,Elementary Occupations,130.8,no,no,no,yes,male,yes,22,no,16.2,0.3,-0.92,Graduate
in union,Over 23,1,Social sciences and education,evening,Upper secondary education,120.0,Primary/Early education,Primary/Early education,Elementary Occupations,"Skilled Agricultural, Forestry and Fishery Workers",117.0,no,no,no,yes,male,no,33,no,10.8,1.4,1.74,Graduate
single,General application,>3,Social sciences and education,daytime,Upper secondary education,114.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,110.2,yes,no,no,yes,male,no,20,no,10.8,1.4,1.74,Dropout
single,Over 23,1,Business and management,evening,Tertiary education experience,140.0,Bachelor or equivalent,Bachelor or equivalent,Professionals,Professionals,155.7,yes,no,no,yes,male,no,35,no,10.8,1.4,1.74,Dropout
single,Over 23,1,Engineering and applied sciences,daytime,Tertiary education experience,160.0,Bachelor or equivalent,Bachelor or equivalent,Clerical Support Workers,Professionals,180.4,no,no,yes,yes,male,no,24,no,12.4,0.5,1.79,Dropout
single,General application,1,Business and management,daytime,Upper secondary education,120.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,125.5,no,no,no,yes,male,no,18,no,12.7,3.7,-1.7,Enrolled
in union,Over 23,1,Social sciences and education,evening,Upper secondary education,130.0,Primary/Early education,Primary/Early education,Elementary Occupations,"Skilled Agricultural, Forestry and Fishery Workers",110.0,yes,no,no,yes,female,no,33,no,9.4,-0.8,-3.12,Graduate
single,Other,1,Health sciences,daytime,Upper secondary education,160.0,Primary/Early education,Lower secondary education,Elementary Occupations,Craft and Related Trades Workers,161.0,yes,no,no,yes,female,yes,22,no,10.8,1.4,1.74,Graduate
single,Over 23,1,Business and management,daytime,Upper secondary education,120.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Service and Sales Workers,100.0,no,no,no,yes,female,yes,25,no,9.4,-0.8,-3.12,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,124.0,Upper secondary/Post secondary,Lower secondary education,Clerical Support Workers,Student,117.6,yes,no,no,yes,male,no,20,no,7.6,2.6,0.32,Graduate
single,General application,>3,Business and management,daytime,Upper secondary education,143.0,Lower secondary education,Primary/Early education,Elementary Occupations,Elementary Occupations,128.7,yes,no,no,yes,male,no,23,no,11.1,0.6,2.02,Enrolled
single,Other,2,Engineering and applied sciences,daytime,Upper secondary education,115.0,Lower secondary education,Upper secondary/Post secondary,Elementary Occupations,"Skilled Agricultural, Forestry and Fishery Workers",112.2,yes,no,yes,yes,male,no,18,no,15.5,2.8,-4.06,Enrolled
single,Over 23,1,Health sciences,daytime,Upper secondary education,133.1,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Other,100.8,no,no,no,yes,male,no,24,no,13.9,-0.3,0.79,Dropout
single,General application,2,Communication and design,daytime,Upper secondary education,133.1,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,105.0,yes,no,no,no,female,no,21,yes,8.9,1.4,3.51,Graduate
single,Other,1,Engineering and applied sciences,daytime,Upper secondary education,133.1,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,100.0,no,no,no,yes,female,no,26,yes,8.9,1.4,3.51,Dropout
in union,Over 23,1,Social sciences and education,daytime,Upper secondary education,133.1,Primary/Early education,Unknown,Student,Student,115.5,no,no,no,yes,female,no,39,no,7.6,2.6,0.32,Dropout
in union,Over 23,1,Social sciences and education,evening,Upper secondary education,133.1,Primary/Early education,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,114.0,no,no,no,yes,female,no,44,no,12.7,3.7,-1.7,Graduate
single,Other,1,Engineering and applied sciences,daytime,Upper secondary education,130.0,Lower secondary education,Bachelor or equivalent,Elementary Occupations,Professionals,137.0,yes,no,no,yes,male,no,19,yes,13.9,-0.3,0.79,Enrolled
single,General application,>3,Communication and design,daytime,Upper secondary education,135.0,Primary/Early education,Upper secondary/Post secondary,Service and Sales Workers,Service and Sales Workers,124.9,yes,no,no,yes,female,no,18,no,8.9,1.4,3.51,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,132.0,Primary/Early education,Primary/Early education,Craft and Related Trades Workers,Craft and Related Trades Workers,120.3,yes,no,no,yes,female,yes,18,no,12.4,0.5,1.79,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,135.0,Upper secondary/Post secondary,Bachelor or equivalent,Elementary Occupations,Managers,134.3,yes,no,no,yes,female,no,19,no,12.7,3.7,-1.7,Enrolled
single,General application,>3,Health sciences,daytime,Upper secondary education,115.0,Bachelor or equivalent,Bachelor or equivalent,Professionals,Professionals,111.5,yes,no,yes,no,female,no,19,no,13.9,-0.3,0.79,Dropout
single,Other,1,Health sciences,daytime,Post-secondary non-tertiary education,130.0,Lower secondary education,Lower secondary education,Elementary Occupations,Elementary Occupations,128.8,no,no,no,yes,female,no,21,no,8.9,1.4,3.51,Dropout
single,General application,>3,Communication and design,daytime,Upper secondary education,133.1,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Other,110.0,yes,no,no,yes,female,no,20,no,16.2,0.3,-0.92,Graduate
in union,Over 23,1,Social sciences and education,evening,Upper secondary education,130.0,Primary/Early education,Primary/Early education,"Skilled Agricultural, Forestry and Fishery Workers",Service and Sales Workers,113.5,yes,no,no,yes,female,no,36,no,9.4,-0.8,-3.12,Dropout
previously in union,Over 23,1,Engineering and applied sciences,daytime,Upper secondary education,133.1,Primary/Early education,Primary/Early education,Elementary Occupations,"Skilled Agricultural, Forestry and Fishery Workers",160.0,no,no,no,yes,female,no,43,no,15.5,2.8,-4.06,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,123.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Craft and Related Trades Workers,117.4,yes,no,no,yes,female,no,19,no,11.1,0.6,2.02,Dropout
single,Other,1,Communication and design,daytime,Upper secondary education,130.0,Bachelor or equivalent,Upper secondary/Post secondary,Professionals,Plant and Machine Operators and Assemblers,122.2,no,no,yes,yes,female,no,20,no,11.1,0.6,2.02,Graduate
single,General application,2,Social sciences and education,daytime,Upper secondary education,122.0,Primary/Early education,Lower secondary education,Clerical Support Workers,Craft and Related Trades Workers,118.2,yes,no,no,yes,female,no,19,no,16.2,0.3,-0.92,Dropout
single,General application,1,Health sciences,daytime,Upper secondary education,113.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,106.7,yes,no,no,yes,female,no,20,no,15.5,2.8,-4.06,Dropout
single,General application,>3,Health sciences,daytime,Upper secondary education,111.0,Bachelor or equivalent,Master/Doctoral,Clerical Support Workers,Technicians and Associate Professionals,108.2,yes,no,no,yes,female,no,20,no,12.4,0.5,1.79,Dropout
single,General application,2,Social sciences and education,daytime,Upper secondary education,133.1,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Technicians and Associate Professionals,107.0,yes,no,no,yes,female,no,20,no,16.2,0.3,-0.92,Enrolled
single,General application,1,Social sciences and education,daytime,Upper secondary education,142.0,Primary/Early education,Primary/Early education,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,136.1,yes,no,no,yes,female,no,18,no,13.9,-0.3,0.79,Graduate
single,General application,2,Business and management,daytime,Upper secondary education,123.0,Upper secondary/Post secondary,Lower secondary education,Clerical Support Workers,Craft and Related Trades Workers,115.3,yes,no,no,yes,female,yes,18,no,8.9,1.4,3.51,Enrolled
single,General application,1,Health sciences,daytime,Upper secondary education,131.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,139.8,yes,no,no,yes,female,no,19,no,10.8,1.4,1.74,Graduate
single,General application,3,Communication and design,daytime,Upper secondary education,158.0,Upper secondary/Post secondary,Lower secondary education,Clerical Support Workers,Craft and Related Trades Workers,157.0,yes,no,no,yes,female,no,18,no,10.8,1.4,1.74,Graduate
single,General application,2,Health sciences,daytime,Upper secondary education,122.0,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,131.0,yes,no,no,yes,female,no,18,no,7.6,2.6,0.32,Dropout
single,Other,1,Health sciences,daytime,Upper secondary education,130.0,Lower secondary education,Lower secondary education,Elementary Occupations,Service and Sales Workers,100.0,no,no,no,yes,female,no,20,no,13.9,-0.3,0.79,Enrolled
single,General application,1,Social sciences and education,daytime,Upper secondary education,154.0,Upper secondary/Post secondary,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,140.4,yes,no,no,yes,female,yes,20,no,7.6,2.6,0.32,Enrolled
single,General application,1,Business and management,daytime,Upper secondary education,120.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Technicians and Associate Professionals,Technicians and Associate Professionals,113.4,no,no,no,yes,female,no,20,no,12.4,0.5,1.79,Enrolled
single,General application,2,Health sciences,daytime,Upper secondary education,140.0,Primary/Early education,Lower secondary education,Elementary Occupations,Craft and Related Trades Workers,137.0,no,no,no,yes,female,no,18,no,9.4,-0.8,-3.12,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,127.0,Bachelor or equivalent,Upper secondary/Post secondary,Clerical Support Workers,Service and Sales Workers,121.8,no,no,no,yes,female,no,18,no,11.1,0.6,2.02,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,133.1,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Service and Sales Workers,131.0,yes,no,no,yes,female,no,21,no,9.4,-0.8,-3.12,Dropout
