marital_status,application_mode,application_order,course_department,daytime_evening_attendance,previous_qualification,previous_qualification_grade,nacionality,mother_qualification,father_qualification,mother_occupation,father_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,curricular_units_1st_sem_credited,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_evaluations,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,curricular_units_1st_sem_without_evaluations,curricular_units_2nd_sem_credited,curricular_units_2nd_sem_enrolled,curricular_units_2nd_sem_evaluations,curricular_units_2nd_sem_approved,curricular_units_2nd_sem_grade,curricular_units_2nd_sem_without_evaluations,unemployment_rate,inflation_rate,gdp,target
single,General application,2,Social sciences and education,daytime,Upper secondary education,115.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Craft and Related Trades Workers,Plant and Machine Operators and Assemblers,116.4,yes,no,no,yes,female,no,21,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,138.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Technicians and Associate Professionals,Technicians and Associate Professionals,131.0,yes,no,no,yes,female,no,18,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
single,General application,1,Business and management,daytime,Upper secondary education,135.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,122.1,yes,no,no,yes,female,no,20,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate
single,General application,2,Health sciences,daytime,Upper secondary education,127.0,Portuguese,Bachelor or equivalent,Bachelor or equivalent,Managers,Other,118.8,yes,no,no,yes,male,no,19,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled
single,Post-secondary qualification,1,Engineering and applied sciences,daytime,Post-secondary non-tertiary education,150.0,Portuguese,Master/Doctoral,Master/Doctoral,Clerical Support Workers,Professionals,150.0,no,no,no,yes,male,no,21,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled
single,Transfer and change,1,Communication and design,daytime,Upper secondary education,125.0,Portuguese,Upper secondary/Post secondary,Bachelor or equivalent,Professionals,Professionals,130.0,yes,no,no,yes,male,no,20,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,143.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,"Skilled Agricultural, Forestry and Fishery Workers",138.8,no,no,no,no,male,no,18,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
single,General application,1,Social sciences and education,evening,Upper secondary education,138.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Service and Sales Workers,134.5,yes,no,no,yes,female,no,19,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
single,General application,1,Business and management,evening,Upper secondary education,130.0,Portuguese,Bachelor or equivalent,Primary/Early education,Technicians and Associate Professionals,Elementary Occupations,131.4,no,no,no,yes,male,no,34,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate
single,Over 23,1,Engineering and applied sciences,daytime,Upper secondary education,130.0,Portuguese,Lower secondary education,Primary/Early education,Elementary Occupations,"Skilled Agricultural, Forestry and Fishery Workers",102.5,no,no,yes,no,male,no,37,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout
single,Over 23,1,Engineering and applied sciences,daytime,Upper secondary education,133.1,Portuguese,Unknown,Primary/Early education,Student,Student,128.8,yes,no,no,yes,male,no,43,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
single,Transfer and change,1,Business and management,daytime,Upper secondary education,140.0,Portuguese,Primary/Early education,Primary/Early education,"Skilled Agricultural, Forestry and Fishery Workers","Skilled Agricultural, Forestry and Fishery Workers",122.9,no,no,no,yes,female,no,55,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
previously in union,Over 23,1,Business and management,evening,Upper secondary education,120.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Technicians and Associate Professionals,113.9,yes,no,no,yes,female,no,39,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
single,Post-secondary qualification,1,Engineering and applied sciences,daytime,Post-secondary non-tertiary education,120.0,Other nationalities,Master/Doctoral,Master/Doctoral,Technicians and Associate Professionals,"Skilled Agricultural, Forestry and Fishery Workers",120.0,no,no,yes,no,female,no,20,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout
single,General application,>3,Communication and design,daytime,Upper secondary education,126.0,Portuguese,Bachelor or equivalent,Bachelor or equivalent,Professionals,Professionals,121.1,no,no,yes,yes,female,no,18,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
single,General application,2,Business and management,daytime,Upper secondary education,133.0,Portuguese,Bachelor or equivalent,Upper secondary/Post secondary,Professionals,Craft and Related Trades Workers,120.4,yes,no,no,yes,female,no,22,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,103.0,Portuguese,Upper secondary/Post secondary,Bachelor or equivalent,Professionals,Professionals,100.6,yes,yes,no,yes,female,no,22,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,120.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Service and Sales Workers,Service and Sales Workers,121.4,no,no,no,no,female,no,20,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
single,Over 23,1,Business and management,evening,Upper secondary education,133.1,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,109.7,no,no,no,yes,female,no,29,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
single,General application,1,Business and management,evening,Upper secondary education,154.0,Portuguese,Lower secondary education,Lower secondary education,Clerical Support Workers,Service and Sales Workers,134.1,no,no,no,yes,female,no,24,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled
single,General application,2,Social sciences and education,daytime,Upper secondary education,130.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,127.6,yes,no,no,yes,female,no,18,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,132.0,Portuguese,Primary/Early education,Upper secondary/Post secondary,Craft and Related Trades Workers,Craft and Related Trades Workers,132.4,yes,no,no,yes,female,yes,22,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate
single,Post-secondary qualification,1,Social sciences and education,evening,Post-secondary non-tertiary education,130.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,133.4,no,no,no,yes,female,yes,21,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,139.0,Portuguese,Primary/Early education,Lower secondary education,Elementary Occupations,Elementary Occupations,126.1,no,no,no,yes,female,yes,19,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate
single,Over 23,1,Business and management,daytime,Upper secondary education,130.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Elementary Occupations,Craft and Related Trades Workers,113.5,no,no,no,yes,female,yes,24,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,139.0,Portuguese,Primary/Early education,Lower secondary education,"Skilled Agricultural, Forestry and Fishery Workers","Skilled Agricultural, Forestry and Fishery Workers",121.3,yes,no,no,yes,female,yes,19,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled
single,General application,1,Communication and design,daytime,Upper secondary education,127.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Craft and Related Trades Workers,Craft and Related Trades Workers,121.8,yes,no,no,yes,female,yes,20,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
single,General application,3,Engineering and applied sciences,daytime,Upper secondary education,167.0,Portuguese,Primary/Early education,Primary/Early education,Other,Other,159.3,no,no,no,yes,female,no,19,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
single,Over 23,1,Business and management,evening,Upper secondary education,130.0,Portuguese,Lower secondary education,Lower secondary education,Elementary Occupations,Elementary Occupations,120.0,no,no,no,yes,female,no,27,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
single,General application,1,Health sciences,daytime,Upper secondary education,130.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Service and Sales Workers,129.1,yes,no,no,yes,female,no,18,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
in union,Previous degree,1,Business and management,daytime,Tertiary education experience,130.0,Portuguese,Upper secondary/Post secondary,Bachelor or equivalent,Clerical Support Workers,Technicians and Associate Professionals,130.0,no,no,no,yes,female,no,39,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
single,Over 23,1,Engineering and applied sciences,daytime,Tertiary education experience,129.0,Portuguese,Bachelor or equivalent,Bachelor or equivalent,Professionals,Professionals,155.3,yes,no,no,yes,female,no,27,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
single,General application,1,Health sciences,daytime,Upper secondary education,141.0,Portuguese,Lower secondary education,Lower secondary education,Craft and Related Trades Workers,Other,139.8,yes,no,no,yes,female,no,18,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
single,General application,3,Communication and design,daytime,Upper secondary education,125.0,Portuguese,Lower secondary education,Primary/Early education,Clerical Support Workers,Elementary Occupations,115.2,yes,no,no,yes,female,no,18,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
single,General application,2,Health sciences,daytime,Upper secondary education,125.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,114.9,no,no,no,yes,female,no,18,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate
single,Post-secondary qualification,1,Social sciences and education,daytime,Post-secondary non-tertiary education,130.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,131.9,no,no,no,yes,female,yes,21,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate
single,General application,3,Communication and design,daytime,Upper secondary education,133.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Clerical Support Workers,Craft and Related Trades Workers,126.0,yes,no,no,yes,male,yes,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
single,General application,1,Communication and design,daytime,Upper secondary education,127.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Technicians and Associate Professionals,Clerical Support Workers,130.2,yes,no,no,yes,male,no,19,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled
single,Transfer and change,1,Communication and design,daytime,Upper secondary education,116.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Technicians and Associate Professionals,Technicians and Associate Professionals,120.9,no,no,no,yes,male,no,24,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
previously in union,Transfer and change,1,Health sciences,daytime,Upper secondary education,133.1,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Service and Sales Workers,126.0,yes,no,no,yes,male,no,29,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout
single,General application,3,Communication and design,daytime,Upper secondary education,139.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Technicians and Associate Professionals,128.2,yes,no,no,yes,male,yes,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
single,Post-secondary qualification,1,Engineering and applied sciences,daytime,Post-secondary non-tertiary education,130.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Elementary Occupations,Elementary Occupations,130.0,yes,no,no,yes,male,no,23,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate
single,General application,3,Business and management,daytime,Upper secondary education,125.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Craft and Related Trades Workers,Craft and Related Trades Workers,120.1,no,no,yes,yes,male,no,19,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
single,Over 23,1,Business and management,daytime,Upper secondary education,160.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Craft and Related Trades Workers,Other,100.0,no,no,no,yes,male,no,26,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
single,General application,1,Business and management,daytime,Upper secondary education,148.0,Portuguese,Lower secondary education,Primary/Early education,Service and Sales Workers,Service and Sales Workers,134.0,no,no,no,yes,male,no,18,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
single,General application,1,Health sciences,daytime,Upper secondary education,150.0,Portuguese,Primary/Early education,Upper secondary/Post secondary,Plant and Machine Operators and Assemblers,Clerical Support Workers,130.8,no,no,no,yes,male,no,24,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,141.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Other,135.8,yes,no,no,yes,male,no,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,General application,>3,Business and management,daytime,Upper secondary education,118.0,Portuguese,Lower secondary education,Primary/Early education,Service and Sales Workers,Craft and Related Trades Workers,111.7,yes,no,no,yes,male,no,18,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout
single,General application,2,Communication and design,daytime,Upper secondary education,142.0,Portuguese,Lower secondary education,Lower secondary education,Elementary Occupations,Elementary Occupations,132.9,yes,no,no,yes,male,no,18,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Graduate
single,General application,3,Business and management,daytime,Upper secondary education,120.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Craft and Related Trades Workers,115.5,yes,no,yes,yes,male,no,18,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout
single,General application,>3,Business and management,daytime,Upper secondary education,106.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Craft and Related Trades Workers,Craft and Related Trades Workers,106.0,yes,no,no,yes,male,yes,21,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout
single,General application,>3,Communication and design,daytime,Upper secondary education,121.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Plant and Machine Operators and Assemblers,120.3,yes,no,yes,yes,male,yes,19,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,150.0,Portuguese,Lower secondary education,Primary/Early education,Elementary Occupations,Elementary Occupations,130.8,no,no,no,yes,male,yes,22,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate
in union,Over 23,1,Social sciences and education,evening,Upper secondary education,120.0,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,"Skilled Agricultural, Forestry and Fishery Workers",117.0,no,no,no,yes,male,no,33,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate
single,General application,>3,Social sciences and education,daytime,Upper secondary education,114.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,110.2,yes,no,no,yes,male,no,20,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
single,Over 23,1,Business and management,evening,Tertiary education experience,140.0,Portuguese,Bachelor or equivalent,Bachelor or equivalent,Professionals,Professionals,155.7,yes,no,no,yes,male,no,35,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,Over 23,1,Engineering and applied sciences,daytime,Tertiary education experience,160.0,Portuguese,Bachelor or equivalent,Bachelor or equivalent,Clerical Support Workers,Professionals,180.4,no,no,yes,yes,male,no,24,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
single,General application,1,Business and management,daytime,Upper secondary education,120.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,125.5,no,no,no,yes,male,no,18,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
in union,Over 23,1,Social sciences and education,evening,Upper secondary education,130.0,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,"Skilled Agricultural, Forestry and Fishery Workers",110.0,yes,no,no,yes,female,no,33,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate
single,Transfer and change,1,Health sciences,daytime,Upper secondary education,160.0,Portuguese,Primary/Early education,Lower secondary education,Elementary Occupations,Craft and Related Trades Workers,161.0,yes,no,no,yes,female,yes,22,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate
single,Over 23,1,Business and management,daytime,Upper secondary education,120.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Service and Sales Workers,100.0,no,no,no,yes,female,yes,25,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,124.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Clerical Support Workers,Student,117.6,yes,no,no,yes,male,no,20,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate
single,General application,>3,Business and management,daytime,Upper secondary education,143.0,Portuguese,Lower secondary education,Primary/Early education,Elementary Occupations,Elementary Occupations,128.7,yes,no,no,yes,male,no,23,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled
